OBS_NUM;CPMN;CPRON;CMUNN;FNAC;NOMB;NOMBFREQ;APE1;APE1FREQ;APE2;APE2FREQ;IDEN;NDOCU;NIE;SEXO
1;35020;35;020;19560425;MARCA;1.8485484E-6;AFONSO;0.0021387705;RODRIGUEZ;0.0388453967;42763212;00000000000000000000;35000385061;1
2;35016;35;016;19490919;SANTIAGO;0.0029780115;AGUILAR;0.0005397761;RODRIGUEZ;0.0388453967;42708687;00000000000000000000;00000000000;1
3;35016;35;016;20030519;RITA;0.0007782389;MATEO;0.00091688;SANTANA;0.0328450085;00000000;00000000000000000000;00000000000;6
4;35016;35;016;19660505;RAFAELA;0.0007486621;AGUIRRE;0.0001663694;GARCIA;0.0273437283;00000000;00000000000000000000;35064301717;6
5;35016;35;016;19821112;FRANCISCO;0.0085162626;ALCON;9.2427421E-6;MAYOR;0.000707994;00000000;00000000000000000000;00000000000;1
6;35016;35;016;20090626;SANTIAGO;0.0029780115;OYONO;9.2427421E-6;ANGUE;0.0000110913;00000000;00000000000000000000;00000000000;1
7;35016;35;016;19481201;FRANCISCO;0.0085162626;GONZALEZ;0.0312792879;MENDEZ;0.0030870759;00000000;00000000000000000000;00000000000;1
8;35016;35;016;20110815;JUAN;0.0072925235;RODRIGUEZ;0.03845905;ALONSO;0.0049097446;00000000;00000000000000000000;00000000000;1
9;35009;35;009;20020318;FRANCISCO;0.0085162626;MARTIN;0.0150823066;PEREZ;0.0250552254;00000000;00000000000000000000;00000000000;1
10;35016;35;016;20041001;FRANCISCO;0.0085162626;GARCIA;0.0279389609;TAPIA;0.0001072158;00000000;00000000000000000000;00000000000;1
11;35004;35;004;20100218;FRANCISCO;0.0085162626;SANTIAGO;0.0020722228;HEREDIA;0.0004048321;00000000;00000000000000000000;00000000000;1
12;35016;35;016;20110218;FRANCISCO;0.0085162626;ARENCIBIA;0.0019465215;HERNANDEZ;0.0285822558;00000000;00000000000000000000;00000000000;1
13;66324;66;324;20020807;SANTIAGO;0.0029780115;TORRIJOS;0.0000110913;FONG;3.6970969E-6;00000000;00000000000000000000;00000000000;1
